dice_id,face,adjacent_1,adjacent_2,adjacent_3,opposite,face_pair
37,11,9,4,13,10,10:11
37,12,10,15,2,9,9:12
37,13,11,5,1,8,8:13
37,14,4,6,20,7,7:14
37,15,5,12,7,6,6:15
37,16,6,3,8,5,5:16
37,17,10,3,7,4,4:17
37,18,5,4,2,3,3:18
37,19,3,9,1,2,2:19
37,20,2,14,8,1,1:20
38,1,7,19,13,20,1:20
38,2,12,18,20,19,2:19
38,3,17,16,19,18,3:18
38,4,18,11,14,17,4:17
38,5,18,15,13,16,5:16
38,6,9,16,14,15,6:15
38,7,15,17,1,14,7:14
38,8,16,10,20,13,8:13
38,9,6,11,19,12,9:12
38,10,17,12,8,11,10:11
38,11,9,4,13,10,10:11
38,12,10,15,2,9,9:12
38,13,11,5,1,8,8:13
38,14,4,6,20,7,7:14
38,15,5,12,7,6,6:15
38,16,6,3,8,5,5:16
38,17,10,3,7,4,4:17
38,18,5,4,2,3,3:18
38,19,3,9,1,2,2:19
38,20,2,14,8,1,1:20
39,1,7,19,13,20,1:20
39,2,12,18,20,19,2:19
39,3,17,16,19,18,3:18
39,4,18,11,14,17,4:17
39,5,18,15,13,16,5:16
39,6,9,16,14,15,6:15
39,7,15,17,1,14,7:14
39,8,16,10,20,13,8:13
39,9,6,11,19,12,9:12
39,10,17,12,8,11,10:11
39,11,9,4,13,10,10:11
39,12,10,15,2,9,9:12
39,13,11,5,1,8,8:13
39,14,4,6,20,7,7:14
39,15,5,12,7,6,6:15
39,16,6,3,8,5,5:16
39,17,10,3,7,4,4:17
39,18,5,4,2,3,3:18
39,19,3,9,1,2,2:19
39,20,2,14,8,1,1:20
40,1,7,19,13,20,1:20
40,2,12,18,20,19,2:19
40,3,17,16,19,18,3:18
40,4,18,11,14,17,4:17
40,5,18,15,13,16,5:16
40,6,9,16,14,15,6:15
40,7,15,17,1,14,7:14
40,8,10,20,16,13,8:13
40,9,6,11,19,12,9:12
40,10,17,12,8,11,10:11
40,11,9,4,13,10,10:11
40,12,10,15,2,9,9:12
40,13,11,5,1,8,8:13
40,14,4,6,20,7,7:14
40,15,5,12,7,6,6:15
40,16,6,3,8,5,5:16
40,17,10,3,7,4,4:17
40,18,5,4,2,3,3:18
40,19,3,9,1,2,2:19
40,20,2,14,8,1,1:20
41,1,7,19,13,20,1:20
41,2,13,18,20,19,2:19
41,3,17,16,19,18,3:18
41,4,18,11,14,17,4:17
41,5,18,15,13,16,5:16
41,6,9,16,14,15,6:15
41,7,15,17,1,14,7:14
41,8,16,10,20,13,8:13
41,9,6,11,19,12,9:12
41,10,17,12,8,11,10:11
41,11,9,4,13,10,10:11
41,12,10,15,2,9,9:12
41,13,11,5,1,8,8:13
41,14,4,6,20,7,7:14
41,15,5,12,7,6,6:15
41,16,6,3,8,5,5:16
41,17,10,3,7,4,4:17
41,18,5,4,2,3,3:18
41,19,3,9,1,2,2:19
41,20,2,14,8,1,1:20
42,1,7,19,13,20,1:20
42,2,12,18,20,19,2:19
42,3,17,16,19,18,3:18
42,4,18,11,14,17,4:17
42,5,18,15,13,16,5:16
42,6,9,16,14,15,6:15
42,7,15,17,1,14,7:14
42,8,10,20,16,13,8:13
42,9,6,11,19,12,9:12
42,10,17,12,8,11,10:11
42,11,9,4,13,10,10:11
42,12,10,15,2,9,9:12
42,13,11,5,1,8,8:13
42,14,4,6,20,7,7:14
42,15,5,12,7,6,6:15
42,16,6,3,8,5,5:16
42,17,10,3,7,4,4:17
42,18,5,4,2,3,3:18
42,19,3,9,1,2,2:19
42,20,2,14,8,1,1:20
43,1,7,19,13,20,1:20
43,2,12,18,20,19,2:19
43,3,17,16,19,18,3:18
43,4,18,11,14,17,4:17
43,5,18,15,13,16,5:16
43,6,9,16,14,15,6:15
43,7,15,17,1,14,7:14
43,8,10,20,16,13,8:13
43,9,6,11,19,12,9:12
43,10,17,12,8,11,10:11
43,11,9,4,13,10,10:11
43,12,10,15,2,9,9:12
43,13,11,5,1,8,8:13
43,14,4,6,20,7,7:14
43,15,5,12,7,6,6:15
43,16,6,3,8,5,5:16
43,17,10,3,7,4,4:17
43,18,5,4,2,3,3:18
43,19,3,9,1,2,2:19
43,20,2,14,8,1,1:20
44,1,7,19,13,20,1:20
